source,target,thickness,material
53,55,1.00000000,beam_material_a
53,59,1.00000000,beam_material_a
54,58,1.00000000,beam_material_b
54,114,1.00000000,beam_material_b
55,56,1.00000000,beam_material_a
56,57,1.00000000,beam_material_b
56,143,1.00000000,beam_material_b
57,58,1.00000000,beam_material_a
58,188,1.00000000,beam_material_b
59,60,1.00000000,beam_material_a
59,118,1.00000000,beam_material_a
60,115,1.00000000,beam_material_a
60,116,1.00000000,beam_material_a
61,126,1.00000000,beam_material_b
61,327,1.00000000,beam_material_b
61,329,1.00000000,beam_material_a
62,66,1.00000000,beam_material_a
62,131,1.00000000,beam_material_b
62,135,1.00000000,beam_material_a
63,64,1.00000000,beam_material_b
63,132,1.00000000,beam_material_b
64,65,1.00000000,beam_material_a
65,66,1.00000000,beam_material_b
65,120,1.00000000,beam_material_b
67,138,1.00000000,beam_material_b
67,159,1.00000000,beam_material_b
67,176,1.00000000,beam_material_b
68,69,1.00000000,beam_material_a
68,89,1.00000000,beam_material_b
69,70,1.00000000,beam_material_a
70,72,1.00000000,beam_material_b
71,72,1.00000000,beam_material_a
71,90,1.00000000,beam_material_a
71,134,1.00000000,beam_material_a
73,74,1.00000000,beam_material_b
73,77,1.00000000,beam_material_b
74,75,1.00000000,beam_material_b
75,76,1.00000000,beam_material_a
76,77,1.00000000,beam_material_a
77,141,1.00000000,beam_material_b
78,79,1.00000000,beam_material_b
78,221,1.00000000,beam_material_b
78,312,1.00000000,beam_material_a
79,155,1.00000000,beam_material_a
80,83,1.00000000,beam_material_b
80,211,1.00000000,beam_material_b
81,82,1.00000000,beam_material_a
81,83,1.00000000,beam_material_a
82,86,1.00000000,beam_material_a
82,216,1.00000000,beam_material_a
83,152,1.00000000,beam_material_a
84,86,1.00000000,beam_material_a
84,88,1.00000000,beam_material_a
84,154,1.00000000,beam_material_b
85,86,1.00000000,beam_material_b
85,90,1.00000000,beam_material_a
85,133,1.00000000,beam_material_b
87,88,1.00000000,beam_material_b
87,89,1.00000000,beam_material_b
87,128,1.00000000,beam_material_b
89,90,1.00000000,beam_material_b
91,92,1.00000000,beam_material_a
91,224,1.00000000,beam_material_a
92,93,1.00000000,beam_material_b
92,245,1.00000000,beam_material_b
93,160,1.00000000,beam_material_a
94,309,1.00000000,beam_material_a
94,355,1.00000000,beam_material_a
95,96,1.00000000,beam_material_a
95,166,1.00000000,beam_material_a
95,197,1.00000000,beam_material_a
96,97,1.00000000,beam_material_b
97,104,1.00000000,beam_material_a
97,165,1.00000000,beam_material_a
98,100,1.00000000,beam_material_b
98,169,1.00000000,beam_material_a
99,101,1.00000000,beam_material_a
99,172,1.00000000,beam_material_b
100,101,1.00000000,beam_material_b
100,184,1.00000000,beam_material_b
101,239,1.00000000,beam_material_a
102,107,1.00000000,beam_material_a
102,173,1.00000000,beam_material_a
103,104,1.00000000,beam_material_a
103,177,1.00000000,beam_material_a
104,105,1.00000000,beam_material_b
105,107,1.00000000,beam_material_b
105,229,1.00000000,beam_material_b
106,107,1.00000000,beam_material_b
106,180,1.00000000,beam_material_a
108,109,1.00000000,beam_material_b
108,354,1.00000000,beam_material_b
109,186,1.00000000,beam_material_b
110,236,1.00000000,beam_material_b
110,319,1.00000000,beam_material_a
110,348,1.00000000,beam_material_a
111,112,1.00000000,beam_material_b
111,113,1.00000000,beam_material_b
112,189,1.00000000,beam_material_a
113,325,1.00000000,beam_material_a
114,115,1.00000000,beam_material_a
114,190,1.00000000,beam_material_a
115,196,1.00000000,beam_material_b
116,123,1.00000000,beam_material_b
116,167,1.00000000,beam_material_a
117,118,1.00000000,beam_material_b
117,119,1.00000000,beam_material_a
118,123,1.00000000,beam_material_b
119,120,1.00000000,beam_material_a
120,121,1.00000000,beam_material_b
121,122,1.00000000,beam_material_b
122,123,1.00000000,beam_material_a
122,164,1.00000000,beam_material_a
124,126,1.00000000,beam_material_a
124,321,1.00000000,beam_material_b
124,331,1.00000000,beam_material_a
125,126,1.00000000,beam_material_a
125,128,1.00000000,beam_material_b
127,129,1.00000000,beam_material_a
127,306,1.00000000,beam_material_b
127,323,1.00000000,beam_material_b
128,129,1.00000000,beam_material_b
130,131,1.00000000,beam_material_a
130,133,1.00000000,beam_material_b
131,132,1.00000000,beam_material_b
132,134,1.00000000,beam_material_a
133,134,1.00000000,beam_material_a
135,136,1.00000000,beam_material_b
135,210,1.00000000,beam_material_a
136,137,1.00000000,beam_material_b
137,138,1.00000000,beam_material_a
137,234,1.00000000,beam_material_a
138,250,1.00000000,beam_material_b
139,141,1.00000000,beam_material_b
139,295,1.00000000,beam_material_b
140,142,1.00000000,beam_material_a
140,297,1.00000000,beam_material_a
140,303,1.00000000,beam_material_b
141,143,1.00000000,beam_material_a
142,143,1.00000000,beam_material_a
144,200,1.00000000,beam_material_a
144,207,1.00000000,beam_material_b
144,356,1.00000000,beam_material_a
145,146,1.00000000,beam_material_a
145,147,1.00000000,beam_material_a
145,316,1.00000000,beam_material_a
146,254,1.00000000,beam_material_a
146,294,1.00000000,beam_material_b
147,208,1.00000000,beam_material_a
147,255,1.00000000,beam_material_a
148,150,1.00000000,beam_material_a
148,209,1.00000000,beam_material_a
148,256,1.00000000,beam_material_b
149,150,1.00000000,beam_material_b
149,151,1.00000000,beam_material_b
149,212,1.00000000,beam_material_a
150,287,1.00000000,beam_material_b
151,152,1.00000000,beam_material_b
151,257,1.00000000,beam_material_a
152,213,1.00000000,beam_material_a
153,215,1.00000000,beam_material_b
153,308,1.00000000,beam_material_b
153,350,1.00000000,beam_material_a
154,155,1.00000000,beam_material_a
154,217,1.00000000,beam_material_b
155,220,1.00000000,beam_material_b
156,222,1.00000000,beam_material_a
156,315,1.00000000,beam_material_a
156,349,1.00000000,beam_material_b
157,273,1.00000000,beam_material_a
157,290,1.00000000,beam_material_a
157,298,1.00000000,beam_material_a
158,163,1.00000000,beam_material_b
158,244,1.00000000,beam_material_b
158,248,1.00000000,beam_material_a
159,162,1.00000000,beam_material_b
159,249,1.00000000,beam_material_a
160,161,1.00000000,beam_material_b
160,163,1.00000000,beam_material_a
161,174,1.00000000,beam_material_b
162,163,1.00000000,beam_material_a
162,175,1.00000000,beam_material_b
164,167,1.00000000,beam_material_a
164,228,1.00000000,beam_material_b
165,166,1.00000000,beam_material_b
165,231,1.00000000,beam_material_a
166,167,1.00000000,beam_material_b
168,169,1.00000000,beam_material_a
168,332,1.00000000,beam_material_b
168,343,1.00000000,beam_material_a
169,172,1.00000000,beam_material_a
170,171,1.00000000,beam_material_a
170,299,1.00000000,beam_material_a
170,336,1.00000000,beam_material_b
171,172,1.00000000,beam_material_a
173,174,1.00000000,beam_material_b
173,230,1.00000000,beam_material_b
174,175,1.00000000,beam_material_a
175,176,1.00000000,beam_material_a
176,233,1.00000000,beam_material_a
177,178,1.00000000,beam_material_a
177,180,1.00000000,beam_material_a
178,181,1.00000000,beam_material_a
179,180,1.00000000,beam_material_b
179,182,1.00000000,beam_material_a
181,182,1.00000000,beam_material_a
183,184,1.00000000,beam_material_b
183,238,1.00000000,beam_material_a
183,326,1.00000000,beam_material_b
184,357,1.00000000,beam_material_b
185,186,1.00000000,beam_material_a
185,187,1.00000000,beam_material_a
186,237,1.00000000,beam_material_a
187,241,1.00000000,beam_material_a
188,189,1.00000000,beam_material_a
188,190,1.00000000,beam_material_a
189,192,1.00000000,beam_material_b
190,191,1.00000000,beam_material_b
191,195,1.00000000,beam_material_a
191,242,1.00000000,beam_material_a
192,289,1.00000000,beam_material_b
192,311,1.00000000,beam_material_b
193,194,1.00000000,beam_material_a
193,307,1.00000000,beam_material_b
193,346,1.00000000,beam_material_b
194,195,1.00000000,beam_material_b
194,199,1.00000000,beam_material_b
195,196,1.00000000,beam_material_a
196,197,1.00000000,beam_material_b
197,198,1.00000000,beam_material_a
198,199,1.00000000,beam_material_b
199,226,1.00000000,beam_material_a
200,203,1.00000000,beam_material_b
200,328,1.00000000,beam_material_a
201,202,1.00000000,beam_material_b
201,296,1.00000000,beam_material_b
201,344,1.00000000,beam_material_a
202,203,1.00000000,beam_material_a
202,261,1.00000000,beam_material_b
203,205,1.00000000,beam_material_b
204,205,1.00000000,beam_material_b
204,206,1.00000000,beam_material_b
204,271,1.00000000,beam_material_a
205,207,1.00000000,beam_material_b
206,317,1.00000000,beam_material_b
206,335,1.00000000,beam_material_a
207,324,1.00000000,beam_material_a
208,209,1.00000000,beam_material_a
208,278,1.00000000,beam_material_a
209,267,1.00000000,beam_material_b
210,211,1.00000000,beam_material_b
210,251,1.00000000,beam_material_b
211,212,1.00000000,beam_material_b
212,247,1.00000000,beam_material_a
213,216,1.00000000,beam_material_a
213,253,1.00000000,beam_material_b
214,215,1.00000000,beam_material_b
214,217,1.00000000,beam_material_a
214,219,1.00000000,beam_material_a
215,252,1.00000000,beam_material_a
216,217,1.00000000,beam_material_b
218,219,1.00000000,beam_material_b
218,320,1.00000000,beam_material_a
218,352,1.00000000,beam_material_b
219,220,1.00000000,beam_material_a
220,221,1.00000000,beam_material_b
221,353,1.00000000,beam_material_a
222,223,1.00000000,beam_material_a
222,258,1.00000000,beam_material_b
223,224,1.00000000,beam_material_a
224,260,1.00000000,beam_material_b
225,226,1.00000000,beam_material_a
225,322,1.00000000,beam_material_a
226,292,1.00000000,beam_material_b
227,228,1.00000000,beam_material_b
227,235,1.00000000,beam_material_b
228,232,1.00000000,beam_material_a
229,230,1.00000000,beam_material_a
229,231,1.00000000,beam_material_b
230,233,1.00000000,beam_material_a
231,232,1.00000000,beam_material_a
232,235,1.00000000,beam_material_a
233,234,1.00000000,beam_material_a
234,235,1.00000000,beam_material_b
236,237,1.00000000,beam_material_a
236,238,1.00000000,beam_material_a
237,241,1.00000000,beam_material_b
238,239,1.00000000,beam_material_a
239,240,1.00000000,beam_material_a
240,241,1.00000000,beam_material_b
242,310,1.00000000,beam_material_a
242,313,1.00000000,beam_material_b
243,245,1.00000000,beam_material_a
243,259,1.00000000,beam_material_b
243,280,1.00000000,beam_material_b
244,245,1.00000000,beam_material_a
244,283,1.00000000,beam_material_b
246,247,1.00000000,beam_material_b
246,248,1.00000000,beam_material_a
246,286,1.00000000,beam_material_b
247,251,1.00000000,beam_material_b
248,249,1.00000000,beam_material_b
249,250,1.00000000,beam_material_a
250,251,1.00000000,beam_material_b
252,253,1.00000000,beam_material_b
252,254,1.00000000,beam_material_a
253,257,1.00000000,beam_material_a
254,255,1.00000000,beam_material_b
255,256,1.00000000,beam_material_b
256,257,1.00000000,beam_material_a
258,260,1.00000000,beam_material_a
258,274,1.00000000,beam_material_b
259,260,1.00000000,beam_material_b
259,270,1.00000000,beam_material_a
261,262,1.00000000,beam_material_b
261,264,1.00000000,beam_material_a
262,263,1.00000000,beam_material_b
262,272,1.00000000,beam_material_a
263,264,1.00000000,beam_material_a
263,266,1.00000000,beam_material_a
264,275,1.00000000,beam_material_b
265,266,1.00000000,beam_material_a
265,269,1.00000000,beam_material_a
265,281,1.00000000,beam_material_a
266,268,1.00000000,beam_material_a
267,268,1.00000000,beam_material_b
267,282,1.00000000,beam_material_b
268,279,1.00000000,beam_material_b
269,270,1.00000000,beam_material_b
269,272,1.00000000,beam_material_b
270,274,1.00000000,beam_material_b
271,272,1.00000000,beam_material_b
271,273,1.00000000,beam_material_a
273,274,1.00000000,beam_material_b
275,276,1.00000000,beam_material_b
275,279,1.00000000,beam_material_a
276,301,1.00000000,beam_material_b
276,351,1.00000000,beam_material_a
277,278,1.00000000,beam_material_a
277,338,1.00000000,beam_material_b
277,342,1.00000000,beam_material_a
278,279,1.00000000,beam_material_a
280,281,1.00000000,beam_material_b
280,284,1.00000000,beam_material_b
281,282,1.00000000,beam_material_a
282,285,1.00000000,beam_material_a
283,284,1.00000000,beam_material_a
283,286,1.00000000,beam_material_a
284,285,1.00000000,beam_material_a
285,287,1.00000000,beam_material_b
286,287,1.00000000,beam_material_a
