source,target,thickness
47,48,1.99554915
47,187,0.71720103
48,102,1.71634198
49,50,0.62739825
49,337,1.07896565
50,111,1.11101897
50,333,0.75573640
51,57,1.80156288
51,112,1.79379759
52,55,1.19274398
52,76,1.76432688
52,117,1.72620751
53,54,1.15160322
53,55,0.77565576
53,59,1.68318611
54,58,1.03140810
54,114,1.04237534
55,56,1.00063277
56,57,1.88706820
56,143,1.41395246
57,58,1.69013860
58,188,1.93613417
59,60,0.54875420
59,118,1.41155897
60,115,0.64553490
60,116,0.56088932
61,126,1.78918816
61,327,0.56462843
61,329,0.77960689
62,66,1.41636444
62,131,1.46320989
62,135,1.32910880
63,64,0.67975529
63,132,0.96388364
64,65,1.32175289
65,66,0.87410849
65,120,0.80014334
67,138,1.06458861
67,159,0.87944652
67,176,1.27447715
68,69,1.07267607
68,89,1.69159765
69,70,1.43870049
70,72,1.20412416
71,72,1.99753071
71,90,1.05288753
71,134,1.94486853
73,74,0.77785859
73,77,0.96475665
74,75,0.83594984
75,76,1.67966573
76,77,1.98709549
77,141,1.79586553
78,79,0.62522709
78,221,1.09863368
78,312,0.50591625
79,155,0.73632579
80,83,1.54498815
80,211,1.15463370
81,82,1.50047874
81,83,1.20864558
82,86,0.75267030
82,216,0.84902401
83,152,1.70117973
84,86,0.56049528
84,88,1.22237373
84,154,1.57254132
85,86,1.21762069
85,90,0.82199779
85,133,0.57471364
87,88,0.66378714
87,89,1.48150601
87,128,0.90558846
89,90,0.76285064
91,92,0.76104938
91,224,0.87749359
92,93,1.10499408
92,245,0.62869152
93,160,1.42602056
94,309,0.53125228
94,355,1.63392274
95,96,1.73747873
95,166,0.81419950
95,197,1.78124307
96,97,0.62451802
97,104,1.00397556
97,165,1.98906583
98,100,1.72120522
98,169,1.11807309
99,101,1.44912351
99,172,1.49891061
100,101,1.20786473
100,184,0.94366444
101,239,1.24318555
102,107,0.73516989
102,173,1.80249947
103,104,0.96863251
103,177,1.74603725
104,105,1.37535290
105,107,1.79692154
105,229,0.85052245
106,107,1.10943169
106,180,1.00590414
108,109,1.21269575
108,354,0.76758512
109,186,0.72575394
110,236,1.62236387
110,319,1.40629819
110,348,0.62612441
111,112,1.48160776
111,113,1.71372956
112,189,1.34914127
113,325,1.45047493
114,115,1.02508318
114,190,0.65480202
115,196,0.62574202
116,123,0.60018187
116,167,0.59265563
117,118,0.92479626
117,119,1.81265505
118,123,1.78200830
119,120,1.77826666
120,121,1.33040197
121,122,1.72960845
122,123,1.27399718
122,164,0.57061915
124,126,0.73993033
124,321,0.96500397
124,331,1.53992734
125,126,1.30110789
125,128,1.17580430
127,129,1.18363848
127,306,1.40975529
127,323,1.45695627
128,129,1.21676393
130,131,1.90329325
130,133,0.88727828
131,132,1.98335512
132,134,1.12030911
133,134,1.20496662
135,136,1.46802553
135,210,1.42832726
136,137,1.37320747
137,138,1.77730725
137,234,1.00154459
138,250,1.95985662
139,141,1.59787366
139,295,1.08557861
140,142,1.55642756
140,297,1.63911942
140,303,1.75100559
141,143,1.51821493
142,143,1.78416642
144,200,0.77361109
144,207,1.42841856
144,356,1.21075694
145,146,1.42239518
145,147,0.77961881
145,316,1.03389389
146,254,1.91588239
146,294,1.08901165
147,208,0.71162114
147,255,1.08167117
148,150,1.43505540
148,209,1.11421905
148,256,0.87386626
149,150,1.15326793
149,151,0.98725887
149,212,1.55550179
150,287,0.59827295
151,152,1.61926579
151,257,1.43517673
152,213,1.63454190
153,215,0.89064634
153,308,0.51061347
153,350,1.55832808
154,155,0.88479145
154,217,1.31649855
155,220,1.59824917
156,222,0.97421297
156,315,1.69063388
156,349,1.94388640
157,273,1.90371600
157,290,1.17734574
157,298,1.90589161
158,163,1.62360943
158,244,0.89823470
158,248,1.08165643
159,162,1.21269932
159,249,1.49926482
160,161,0.96080130
160,163,0.98758942
161,174,1.38176763
162,163,1.67894595
162,175,1.30292311
164,167,0.50585438
164,228,1.07467980
165,166,1.25474699
165,231,1.18711730
166,167,1.71303515
168,169,1.91188647
168,332,1.56637729
168,343,1.43630165
169,172,0.72416433
170,171,0.90718309
170,299,1.15472860
170,336,0.98391173
171,172,1.19893500
173,174,1.26907319
173,230,1.47147598
174,175,1.12611590
175,176,0.86631454
176,233,1.65762721
177,178,0.51622257
177,180,1.82471159
178,181,0.86819167
179,180,1.17595165
179,182,0.55611272
181,182,0.63152254
183,184,1.14991821
183,238,1.32579120
183,326,0.85530005
184,357,0.91544906
185,186,0.89763688
185,187,1.92065301
186,237,0.60136625
187,241,1.63328901
188,189,1.72588927
188,190,0.85835994
189,192,1.77518173
190,191,1.63043962
191,195,0.50702780
191,242,1.01859914
192,289,1.06034555
192,311,1.27732235
193,194,1.03743029
193,307,0.95322803
193,346,1.09802958
194,195,0.54481867
194,199,1.52200041
195,196,0.72659716
196,197,0.98012875
197,198,1.12444999
198,199,1.77845788
199,226,0.84295503
200,203,0.85216690
200,328,1.85182211
201,202,0.65382189
201,296,0.57166471
201,344,1.92207806
202,203,0.95291248
202,261,1.41444415
203,205,0.85536899
204,205,0.75303994
204,206,1.51296883
204,271,0.96652644
205,207,1.23096655
206,317,1.28236682
206,335,1.97897432
207,324,0.78236801
208,209,0.70508956
208,278,1.75994227
209,267,1.83722825
210,211,1.42080152
210,251,1.52414019
211,212,0.77150658
212,247,1.95423435
213,216,0.74876835
213,253,1.48579728
214,215,0.61583930
214,217,1.00981301
214,219,1.49617295
215,252,1.58100098
216,217,1.94359467
218,219,1.05752936
218,320,0.85957087
218,352,0.86820960
219,220,1.43759582
220,221,1.38995372
221,353,1.97365295
222,223,1.63515411
222,258,0.73234832
223,224,1.98585479
224,260,0.90730333
225,226,0.81663767
225,322,1.00890639
226,292,1.10380657
227,228,1.32804159
227,235,0.99912729
228,232,1.82214105
229,230,1.39636301
229,231,1.19893178
230,233,1.59999412
231,232,1.24475214
232,235,1.55592159
233,234,1.74202633
234,235,1.30688121
236,237,0.93159144
236,238,1.63044599
237,241,0.76643493
238,239,1.09388893
239,240,0.77245565
240,241,0.98788509
242,310,0.59457031
242,313,1.41337921
243,245,1.08575572
243,259,1.96785948
243,280,0.52128377
244,245,1.10799079
244,283,1.76742387
246,247,0.71356777
246,248,0.94228306
246,286,1.28849105
247,251,1.37871188
248,249,1.32856491
249,250,1.33662583
250,251,1.33035312
252,253,1.09454996
252,254,0.65791367
253,257,0.91564454
254,255,1.45190592
255,256,1.88105657
256,257,0.86840125
258,260,1.05648549
258,274,1.12058012
259,260,1.01831439
259,270,1.75746350
261,262,0.97583916
261,264,1.46974528
262,263,1.51778896
262,272,0.88641402
263,264,1.77154175
263,266,1.22850714
264,275,1.73295857
265,266,1.69560346
265,269,1.89972089
265,281,0.51697636
266,268,1.46153476
267,268,1.24269054
267,282,1.23245306
268,279,0.51444651
269,270,1.56382283
269,272,1.81093301
270,274,0.81783080
271,272,1.63869883
271,273,1.74538549
273,274,1.77446282
275,276,1.27630578
275,279,1.16007521
276,301,0.67720107
276,351,0.60488471
277,278,1.14421851
277,338,1.08032852
277,342,1.89777717
278,279,1.95830142
280,281,1.84834345
280,284,1.74440095
281,282,1.06504532
282,285,0.70699689
283,284,0.72219868
283,286,1.22716720
284,285,1.99345279
285,287,1.66098697
286,287,1.77187319
