source,target,thickness,material
14,26,1.00000000,beam_material_a
14,27,1.00000000,beam_material_b
15,16,1.00000000,beam_material_a
15,27,1.00000000,beam_material_b
16,17,1.00000000,beam_material_a
16,27,1.00000000,beam_material_a
16,28,1.00000000,beam_material_a
17,18,1.00000000,beam_material_a
17,28,1.00000000,beam_material_b
17,29,1.00000000,beam_material_b
17,30,1.00000000,beam_material_a
18,19,1.00000000,beam_material_a
18,30,1.00000000,beam_material_a
18,31,1.00000000,beam_material_a
19,20,1.00000000,beam_material_b
19,31,1.00000000,beam_material_b
20,21,1.00000000,beam_material_b
20,31,1.00000000,beam_material_b
20,32,1.00000000,beam_material_a
21,22,1.00000000,beam_material_a
21,32,1.00000000,beam_material_b
21,33,1.00000000,beam_material_b
22,23,1.00000000,beam_material_a
22,33,1.00000000,beam_material_a
22,34,1.00000000,beam_material_b
22,35,1.00000000,beam_material_b
23,35,1.00000000,beam_material_a
23,173,1.00000000,beam_material_a
23,174,1.00000000,beam_material_b
24,25,1.00000000,beam_material_a
24,36,1.00000000,beam_material_a
24,175,1.00000000,beam_material_b
24,176,1.00000000,beam_material_a
25,26,1.00000000,beam_material_b
25,36,1.00000000,beam_material_b
25,37,1.00000000,beam_material_b
25,38,1.00000000,beam_material_a
26,27,1.00000000,beam_material_b
26,38,1.00000000,beam_material_b
26,39,1.00000000,beam_material_a
27,28,1.00000000,beam_material_b
27,39,1.00000000,beam_material_b
28,29,1.00000000,beam_material_b
28,39,1.00000000,beam_material_a
28,40,1.00000000,beam_material_b
29,30,1.00000000,beam_material_a
29,40,1.00000000,beam_material_b
29,41,1.00000000,beam_material_a
29,42,1.00000000,beam_material_b
30,31,1.00000000,beam_material_b
30,42,1.00000000,beam_material_b
31,32,1.00000000,beam_material_b
31,42,1.00000000,beam_material_b
31,43,1.00000000,beam_material_b
32,33,1.00000000,beam_material_a
32,43,1.00000000,beam_material_b
32,44,1.00000000,beam_material_a
32,45,1.00000000,beam_material_b
33,34,1.00000000,beam_material_b
33,45,1.00000000,beam_material_b
33,46,1.00000000,beam_material_b
34,35,1.00000000,beam_material_a
34,46,1.00000000,beam_material_b
35,46,1.00000000,beam_material_a
35,47,1.00000000,beam_material_a
35,177,1.00000000,beam_material_a
35,178,1.00000000,beam_material_b
36,37,1.00000000,beam_material_b
36,48,1.00000000,beam_material_a
36,49,1.00000000,beam_material_a
36,179,1.00000000,beam_material_b
37,38,1.00000000,beam_material_b
37,49,1.00000000,beam_material_a
38,39,1.00000000,beam_material_b
38,49,1.00000000,beam_material_b
38,50,1.00000000,beam_material_a
39,40,1.00000000,beam_material_a
39,50,1.00000000,beam_material_b
39,51,1.00000000,beam_material_a
40,41,1.00000000,beam_material_a
40,51,1.00000000,beam_material_a
40,52,1.00000000,beam_material_a
41,42,1.00000000,beam_material_b
41,52,1.00000000,beam_material_a
41,53,1.00000000,beam_material_b
41,54,1.00000000,beam_material_a
42,43,1.00000000,beam_material_b
42,54,1.00000000,beam_material_a
42,55,1.00000000,beam_material_a
43,44,1.00000000,beam_material_a
43,55,1.00000000,beam_material_b
43,56,1.00000000,beam_material_b
44,45,1.00000000,beam_material_b
44,56,1.00000000,beam_material_b
44,57,1.00000000,beam_material_b
45,46,1.00000000,beam_material_a
45,57,1.00000000,beam_material_a
45,58,1.00000000,beam_material_a
46,47,1.00000000,beam_material_a
46,58,1.00000000,beam_material_b
47,58,1.00000000,beam_material_a
47,59,1.00000000,beam_material_b
47,180,1.00000000,beam_material_a
47,181,1.00000000,beam_material_b
47,182,1.00000000,beam_material_a
48,49,1.00000000,beam_material_b
48,60,1.00000000,beam_material_b
48,61,1.00000000,beam_material_b
48,183,1.00000000,beam_material_b
48,184,1.00000000,beam_material_b
49,50,1.00000000,beam_material_a
49,61,1.00000000,beam_material_a
50,51,1.00000000,beam_material_b
50,61,1.00000000,beam_material_a
50,62,1.00000000,beam_material_b
50,63,1.00000000,beam_material_b
51,52,1.00000000,beam_material_b
51,63,1.00000000,beam_material_a
51,64,1.00000000,beam_material_b
52,53,1.00000000,beam_material_a
52,64,1.00000000,beam_material_a
52,65,1.00000000,beam_material_b
53,54,1.00000000,beam_material_b
53,65,1.00000000,beam_material_b
53,66,1.00000000,beam_material_b
54,55,1.00000000,beam_material_a
54,66,1.00000000,beam_material_a
54,67,1.00000000,beam_material_b
55,56,1.00000000,beam_material_b
55,67,1.00000000,beam_material_a
55,68,1.00000000,beam_material_b
56,57,1.00000000,beam_material_b
56,68,1.00000000,beam_material_b
57,58,1.00000000,beam_material_a
57,68,1.00000000,beam_material_b
57,69,1.00000000,beam_material_a
57,70,1.00000000,beam_material_b
58,59,1.00000000,beam_material_b
58,70,1.00000000,beam_material_b
59,70,1.00000000,beam_material_a
59,71,1.00000000,beam_material_b
59,185,1.00000000,beam_material_b
59,186,1.00000000,beam_material_b
60,61,1.00000000,beam_material_b
60,72,1.00000000,beam_material_b
60,73,1.00000000,beam_material_a
60,187,1.00000000,beam_material_a
60,188,1.00000000,beam_material_b
60,189,1.00000000,beam_material_b
61,62,1.00000000,beam_material_a
61,73,1.00000000,beam_material_b
62,63,1.00000000,beam_material_a
62,73,1.00000000,beam_material_b
62,74,1.00000000,beam_material_b
63,64,1.00000000,beam_material_a
63,74,1.00000000,beam_material_a
63,75,1.00000000,beam_material_b
64,65,1.00000000,beam_material_b
64,75,1.00000000,beam_material_a
64,76,1.00000000,beam_material_b
64,77,1.00000000,beam_material_b
65,66,1.00000000,beam_material_b
65,77,1.00000000,beam_material_a
65,78,1.00000000,beam_material_a
66,67,1.00000000,beam_material_a
66,78,1.00000000,beam_material_b
67,68,1.00000000,beam_material_a
67,78,1.00000000,beam_material_b
67,79,1.00000000,beam_material_a
68,69,1.00000000,beam_material_b
68,79,1.00000000,beam_material_b
68,80,1.00000000,beam_material_a
69,70,1.00000000,beam_material_b
69,80,1.00000000,beam_material_b
69,81,1.00000000,beam_material_b
69,82,1.00000000,beam_material_b
70,71,1.00000000,beam_material_a
70,82,1.00000000,beam_material_a
71,82,1.00000000,beam_material_b
71,83,1.00000000,beam_material_a
71,190,1.00000000,beam_material_b
72,73,1.00000000,beam_material_b
72,84,1.00000000,beam_material_a
72,85,1.00000000,beam_material_b
72,191,1.00000000,beam_material_b
73,74,1.00000000,beam_material_a
73,85,1.00000000,beam_material_b
73,86,1.00000000,beam_material_b
74,75,1.00000000,beam_material_a
74,86,1.00000000,beam_material_a
75,76,1.00000000,beam_material_a
75,86,1.00000000,beam_material_a
75,87,1.00000000,beam_material_a
75,88,1.00000000,beam_material_b
76,77,1.00000000,beam_material_b
76,88,1.00000000,beam_material_b
77,78,1.00000000,beam_material_a
77,88,1.00000000,beam_material_a
77,89,1.00000000,beam_material_a
77,90,1.00000000,beam_material_b
78,79,1.00000000,beam_material_a
78,90,1.00000000,beam_material_b
78,91,1.00000000,beam_material_b
79,80,1.00000000,beam_material_a
79,91,1.00000000,beam_material_a
80,81,1.00000000,beam_material_b
80,91,1.00000000,beam_material_a
80,92,1.00000000,beam_material_a
80,93,1.00000000,beam_material_a
81,82,1.00000000,beam_material_a
81,93,1.00000000,beam_material_b
81,94,1.00000000,beam_material_a
82,83,1.00000000,beam_material_b
82,94,1.00000000,beam_material_b
83,94,1.00000000,beam_material_a
83,95,1.00000000,beam_material_a
83,192,1.00000000,beam_material_a
83,193,1.00000000,beam_material_a
83,194,1.00000000,beam_material_a
84,85,1.00000000,beam_material_b
84,96,1.00000000,beam_material_b
84,195,1.00000000,beam_material_a
84,196,1.00000000,beam_material_a
85,86,1.00000000,beam_material_a
85,96,1.00000000,beam_material_b
85,97,1.00000000,beam_material_a
86,87,1.00000000,beam_material_b
86,97,1.00000000,beam_material_b
86,98,1.00000000,beam_material_b
86,99,1.00000000,beam_material_b
87,88,1.00000000,beam_material_a
87,99,1.00000000,beam_material_b
87,100,1.00000000,beam_material_b
88,89,1.00000000,beam_material_a
88,100,1.00000000,beam_material_a
89,90,1.00000000,beam_material_b
89,100,1.00000000,beam_material_b
89,101,1.00000000,beam_material_a
89,102,1.00000000,beam_material_a
90,91,1.00000000,beam_material_a
90,102,1.00000000,beam_material_b
91,92,1.00000000,beam_material_b
91,102,1.00000000,beam_material_a
91,103,1.00000000,beam_material_a
91,104,1.00000000,beam_material_b
92,93,1.00000000,beam_material_a
92,104,1.00000000,beam_material_a
93,94,1.00000000,beam_material_b
93,104,1.00000000,beam_material_b
93,105,1.00000000,beam_material_b
94,95,1.00000000,beam_material_a
94,105,1.00000000,beam_material_b
94,106,1.00000000,beam_material_b
95,106,1.00000000,beam_material_b
95,107,1.00000000,beam_material_a
95,197,1.00000000,beam_material_b
95,198,1.00000000,beam_material_b
96,97,1.00000000,beam_material_a
96,108,1.00000000,beam_material_a
96,199,1.00000000,beam_material_a
96,200,1.00000000,beam_material_a
97,98,1.00000000,beam_material_a
97,108,1.00000000,beam_material_b
97,109,1.00000000,beam_material_b
98,99,1.00000000,beam_material_a
98,109,1.00000000,beam_material_b
98,110,1.00000000,beam_material_a
98,111,1.00000000,beam_material_a
99,100,1.00000000,beam_material_b
99,111,1.00000000,beam_material_a
100,101,1.00000000,beam_material_b
100,111,1.00000000,beam_material_a
100,112,1.00000000,beam_material_a
101,102,1.00000000,beam_material_a
101,112,1.00000000,beam_material_a
101,113,1.00000000,beam_material_b
101,114,1.00000000,beam_material_b
102,103,1.00000000,beam_material_a
102,114,1.00000000,beam_material_b
102,115,1.00000000,beam_material_b
103,104,1.00000000,beam_material_a
103,115,1.00000000,beam_material_b
103,116,1.00000000,beam_material_a
104,105,1.00000000,beam_material_a
104,116,1.00000000,beam_material_b
104,117,1.00000000,beam_material_a
105,106,1.00000000,beam_material_b
105,117,1.00000000,beam_material_b
105,118,1.00000000,beam_material_a
106,107,1.00000000,beam_material_a
106,118,1.00000000,beam_material_b
106,119,1.00000000,beam_material_b
107,119,1.00000000,beam_material_a
107,201,1.00000000,beam_material_b
107,202,1.00000000,beam_material_b
108,109,1.00000000,beam_material_a
108,120,1.00000000,beam_material_b
108,121,1.00000000,beam_material_a
108,203,1.00000000,beam_material_b
108,204,1.00000000,beam_material_b
108,205,1.00000000,beam_material_b
109,110,1.00000000,beam_material_a
109,121,1.00000000,beam_material_b
110,111,1.00000000,beam_material_a
110,121,1.00000000,beam_material_a
110,122,1.00000000,beam_material_b
110,123,1.00000000,beam_material_b
111,112,1.00000000,beam_material_b
111,123,1.00000000,beam_material_a
112,113,1.00000000,beam_material_b
112,123,1.00000000,beam_material_b
112,124,1.00000000,beam_material_b
112,125,1.00000000,beam_material_b
113,114,1.00000000,beam_material_a
113,125,1.00000000,beam_material_b
113,126,1.00000000,beam_material_b
114,115,1.00000000,beam_material_a
114,126,1.00000000,beam_material_b
115,116,1.00000000,beam_material_b
115,126,1.00000000,beam_material_b
115,127,1.00000000,beam_material_a
115,128,1.00000000,beam_material_b
116,117,1.00000000,beam_material_a
116,128,1.00000000,beam_material_b
117,118,1.00000000,beam_material_a
117,128,1.00000000,beam_material_b
117,129,1.00000000,beam_material_a
117,130,1.00000000,beam_material_a
118,119,1.00000000,beam_material_b
118,130,1.00000000,beam_material_b
118,131,1.00000000,beam_material_b
119,131,1.00000000,beam_material_a
119,206,1.00000000,beam_material_b
120,121,1.00000000,beam_material_a
120,132,1.00000000,beam_material_a
120,133,1.00000000,beam_material_b
120,207,1.00000000,beam_material_b
120,208,1.00000000,beam_material_a
121,122,1.00000000,beam_material_b
121,133,1.00000000,beam_material_b
122,123,1.00000000,beam_material_b
122,133,1.00000000,beam_material_b
122,134,1.00000000,beam_material_a
122,135,1.00000000,beam_material_b
123,124,1.00000000,beam_material_b
123,135,1.00000000,beam_material_b
123,136,1.00000000,beam_material_a
124,125,1.00000000,beam_material_a
124,136,1.00000000,beam_material_b
124,137,1.00000000,beam_material_b
125,126,1.00000000,beam_material_b
125,137,1.00000000,beam_material_a
126,127,1.00000000,beam_material_b
126,137,1.00000000,beam_material_a
126,138,1.00000000,beam_material_b
127,128,1.00000000,beam_material_b
127,138,1.00000000,beam_material_b
127,139,1.00000000,beam_material_b
128,129,1.00000000,beam_material_a
128,139,1.00000000,beam_material_b
128,140,1.00000000,beam_material_a
129,130,1.00000000,beam_material_a
129,140,1.00000000,beam_material_b
129,141,1.00000000,beam_material_b
129,142,1.00000000,beam_material_a
130,131,1.00000000,beam_material_b
130,142,1.00000000,beam_material_a
131,142,1.00000000,beam_material_a
131,143,1.00000000,beam_material_a
131,209,1.00000000,beam_material_a
131,210,1.00000000,beam_material_b
132,133,1.00000000,beam_material_a
132,211,1.00000000,beam_material_a
132,212,1.00000000,beam_material_a
132,213,1.00000000,beam_material_a
133,134,1.00000000,beam_material_b
133,214,1.00000000,beam_material_a
134,135,1.00000000,beam_material_b
134,215,1.00000000,beam_material_a
134,216,1.00000000,beam_material_a
134,217,1.00000000,beam_material_b
135,136,1.00000000,beam_material_a
135,218,1.00000000,beam_material_a
135,219,1.00000000,beam_material_a
136,137,1.00000000,beam_material_b
136,220,1.00000000,beam_material_a
137,138,1.00000000,beam_material_b
137,221,1.00000000,beam_material_b
137,222,1.00000000,beam_material_a
137,223,1.00000000,beam_material_b
138,139,1.00000000,beam_material_b
138,224,1.00000000,beam_material_b
138,225,1.00000000,beam_material_a
139,140,1.00000000,beam_material_a
139,226,1.00000000,beam_material_b
140,141,1.00000000,beam_material_b
140,227,1.00000000,beam_material_b
140,228,1.00000000,beam_material_a
141,142,1.00000000,beam_material_a
141,229,1.00000000,beam_material_a
141,230,1.00000000,beam_material_a
142,143,1.00000000,beam_material_a
142,231,1.00000000,beam_material_a
142,232,1.00000000,beam_material_b
143,233,1.00000000,beam_material_a
143,234,1.00000000,beam_material_a
143,235,1.00000000,beam_material_a
143,236,1.00000000,beam_material_a
143,237,1.00000000,beam_material_a
